lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
Burnout,~,Job_Satisfaction,0.12477402038892052,0.8093215310809958,0.25947642508080093,0.48086842706263216,0.6306100136559427
Burnout,~,age,-0.00024320985372913826,-0.041907142085609084,0.0007468964814399056,-0.32562725819063776,0.7447063862324754
Burnout,~,gender_num,-0.008416364835858909,-0.06348427135063393,0.021251745304586282,-0.3960317006832641,0.6920816423380662
Burnout,~,education_dh,0.02242072681527181,0.14484536641296483,0.04833962086510695,0.46381677004405253,0.6427790272932037
Burnout,~,education_ts,0.023480247823057708,0.15379627438123364,0.05025161316000756,0.46725361328851955,0.6403184397918971
Burnout,~,education_tien,0.0080939599696904,0.053015662258334706,0.024197419938045823,0.33449681784584384,0.7380046917455956
Burnout,~,tenure_years,0.0012710528870223177,0.11705297908117983,0.0027500056524249316,0.46220009963954584,0.6439378318100575
js_q1,~,Job_Satisfaction,1.0,0.2948289441293862,-,-,-
js_q2,~,Job_Satisfaction,-1.055265995259772,-0.31000807981463585,0.5211388029396803,-2.0249230901731377,0.04287526221339144
js_q3,~,Job_Satisfaction,0.17042649716014807,0.05237019145655105,0.31732215953099824,0.5370772006956626,0.5912142887005838
js_q4,~,Job_Satisfaction,-0.5799029672619799,-0.17442591305878458,0.3847541478234866,-1.5072039392971388,0.13175839084716112
js_q5,~,Job_Satisfaction,-0.28715563732470095,-0.08743159518461602,0.33151372042322114,-0.8661953326011442,0.3863830524876093
bo_q1,~,Burnout,1.0,0.0461362522651538,-,-,-
bo_q2,~,Burnout,0.07814658006681477,0.0035948030106881432,1.95275472234819,0.040018635813515474,0.9680782689626204
bo_q3,~,Burnout,2.992003651932712,0.14295830437301954,6.11106330568792,0.4896044276202132,0.6244138427602266
bo_q4,~,Burnout,-2.791451216658298,-0.12655175440810126,5.774864140039208,-0.4833795478067926,0.6288262673102105
bo_q5,~,Burnout,-11.992027354297974,-0.5628027179979971,24.18334271184055,-0.4958796431572709,0.6199793294062865
turnover_intent,~,Job_Satisfaction,0.6159472798967036,0.5280588538098865,1.5104098705215274,0.4078014133234022,0.6834194759220917
turnover_intent,~,Burnout,-3.4412205795890176,-0.4548355196955192,11.40822107252379,-0.30164392482512,0.7629235195490818
turnover_intent,~,age,-0.002496662336271735,-0.05686022176261678,0.004053950940654538,-0.615859040280535,0.5379875568846357
turnover_intent,~,gender_num,-0.008376534825991388,-0.008351180028798892,0.1138271047825895,-0.07358998405447482,0.9413366410961816
turnover_intent,~,education_dh,0.005028807202013019,0.004293997297577461,0.25488504951632873,0.019729706436434704,0.9842589930793322
turnover_intent,~,education_ts,0.16000018420817413,0.13851776732208707,0.2647347758173103,0.6043791704871581,0.5455915809365117
turnover_intent,~,education_tien,-0.05458713395318075,-0.04725799508998313,0.1311385314123858,-0.4162554923015467,0.677223057221731
turnover_intent,~,tenure_years,0.0051228615797361,0.06235529420712055,0.014506155341534132,0.3531508837986267,0.7239753275139162
Burnout,~~,Burnout,0.0013194979597420421,0.30192128302869153,0.005727581350750372,0.2303761184184312,0.8177995168500065
Job_Satisfaction,~~,Job_Satisfaction,0.1838691404460543,1.0,0.1367318407238226,1.3447426690912256,0.17870835013758235
bo_q1,~~,bo_q1,2.0488254686496066,0.9978714462269263,0.16779389580134854,12.210369506307929,0.0
bo_q2,~~,bo_q2,2.065280965156162,0.9999870773913142,0.16863254898607402,12.24722615866092,0.0
bo_q3,~~,bo_q3,1.8752224557958115,0.9795629232107912,0.15818896703809146,11.854318862404662,0.0
bo_q4,~~,bo_q4,2.092314979651828,0.9839846534562318,0.1751377809634625,11.946679740543152,0.0
bo_q5,~~,bo_q5,1.3557182880420164,0.6832531006140671,0.5059532748590787,2.6795325880970733,0.007372502657633895
js_q1,~~,js_q1,1.931414505024871,0.9130758937035512,0.19647966001264822,9.830098977628055,0.0
js_q2,~~,js_q2,1.9257711955940953,0.9038949904496423,0.2030338373651258,9.484976595903078,0.0
js_q3,~~,js_q3,1.9418783055217295,0.997257363046804,0.15931902938760506,12.188614963157804,0.0
js_q4,~~,js_q4,1.9705124162957754,0.9695756008536093,0.17072690315934105,11.541897497227694,0.0
js_q5,~~,js_q5,1.9682221293171105,0.9923557161634734,0.1629152669014665,12.081262651065344,0.0
turnover_intent,~~,turnover_intent,0.22354954780675707,0.8935986911182846,0.06392978356272497,3.496798132969177,0.0004708780070965535
