characteristic,level,Overall (N=300),0 (N=148),1 (N=152),test,p_value
"Age, years",-,41.2 (11.4),41.6 (11.4),40.8 (11.4),mann_whitney_u,0.5274295824546917
"Tenure, years",-,11.1 (6.1),11.0 (6.2),11.1 (6.0),mann_whitney_u,0.8778006050111395
Job satisfaction score,-,2.9 (1.1),3.1 (1.2),2.8 (1.1),mann_whitney_u,0.03643238305047374
Burnout score,-,3.0 (1.2),2.9 (1.2),3.0 (1.2),mann_whitney_u,0.4416167423236913
Work-life balance,-,3 (2-4),3 (2-4),3 (2-4),mann_whitney_u,0.26103407099064346
Gender,Nam,161 (53.7%),78 (52.7%),83 (54.6%),chi_squared,0.8300781475533475
,Nữ,139 (46.3%),70 (47.3%),69 (45.4%),,
Education,THPT,78 (26.0%),37 (25.0%),41 (27.0%),chi_squared,0.19245485014367836
,Thạc sĩ,75 (25.0%),30 (20.3%),45 (29.6%),,
,Tiến sĩ,75 (25.0%),42 (28.4%),33 (21.7%),,
,Đại học,72 (24.0%),39 (26.4%),33 (21.7%),,
