term,estimate,or,ci_low,ci_high,p_value
Intercept,0.1907,1.2101,0.3008,4.8686,0.7883
"Q(""sex"")[T.Nam]",-0.211,0.8098,0.4492,1.4597,0.4828
"Q(""treatment"")[T.Phác đồ B]",0.3429,1.409,0.7897,2.5137,0.2457
crp,0.0034,1.0034,0.9935,1.0135,0.4994
"Q(""age"")",0.0044,1.0044,0.9941,1.0148,0.4072
"Q(""bmi"")",-0.006,0.994,0.984,1.0042,0.2504
"Q(""sbp"")",-0.0016,0.9984,0.9883,1.0085,0.7515
"Q(""diabetes"")",0.2223,1.249,0.6988,2.2321,0.453
"Q(""hypertension"")",-0.3833,0.6816,0.383,1.2132,0.1926
"Q(""smoking"")",0.1174,1.1246,0.6278,2.0146,0.693
"Q(""egfr"")",-0.003,0.997,0.9872,1.0069,0.5543
"Q(""hba1c"")",-0.0021,0.9979,0.9878,1.0081,0.6888
"Q(""complication"")",-0.1558,0.8557,0.4664,1.57,0.6148
