term,estimate,or,ci_low,ci_high,p_value
Intercept,0.1761,1.1926,0.2972,4.7855,0.8038
"Q(""sex"")[T.Nam]",-0.198,0.8204,0.4558,1.4764,0.509
"Q(""treatment"")[T.Phác đồ B]",0.3209,1.3784,0.7737,2.4557,0.276
crp,0.0032,1.0032,0.9933,1.0133,0.5245
"Q(""age"")",0.0041,1.0041,0.9938,1.0144,0.4396
"Q(""bmi"")",-0.0056,0.9944,0.9844,1.0046,0.2818
"Q(""sbp"")",-0.0015,0.9985,0.9885,1.0086,0.7694
"Q(""diabetes"")",0.2087,1.232,0.6905,2.1983,0.48
"Q(""hypertension"")",-0.359,0.6984,0.393,1.2412,0.2211
"Q(""smoking"")",0.1107,1.1171,0.6245,1.9982,0.7089
"Q(""egfr"")",-0.0028,0.9972,0.9875,1.0071,0.5793
"Q(""hba1c"")",-0.0019,0.9981,0.988,1.0083,0.7084
"Q(""complication"")",-0.1454,0.8646,0.4721,1.5836,0.6376
