treated_idx,control_idx,distance
186,142,0.0013
156,122,0.0047
20,190,0.0071
34,40,0.002
52,56,0.0105
35,30,0.0313
25,178,0.0089
121,46,0.0002
96,66,0.0256
113,65,0.0059
94,102,0.0147
125,58,0.0164
39,199,0.025
72,100,0.0
104,105,0.0056
151,145,0.0004
176,92,0.0261
153,131,0.0072
76,173,0.0044
60,31,0.0379
148,78,0.0046
99,69,0.0032
114,139,0.0368
62,165,0.0108
101,28,0.0031
32,129,0.0016
33,133,0.0009
4,137,0.0036
188,38,0.0061
147,174,0.0025
19,70,0.0375
47,126,0.005
118,117,0.0281
123,158,0.0142
172,37,0.0382
36,49,0.0453
155,141,0.0496
11,42,0.0234
85,63,0.0323
67,10,0.0797
144,89,0.0018
84,95,0.0047
61,134,0.0024
82,149,0.0298
182,24,0.0067
136,162,0.0313
15,110,0.0647
146,167,0.0608
159,106,0.0003
59,22,0.0
14,180,0.0079
127,86,0.0058
90,161,0.0115
183,109,0.0031
181,170,0.0146
171,152,0.036
124,119,0.0221
191,12,0.0448
2,175,0.0463
192,108,0.0058
189,7,0.0807
120,164,0.0263
140,5,0.0016
193,195,0.0191
177,74,0.0203
116,160,0.0073
57,98,0.0599
44,138,0.0002
0,197,0.0064
50,169,0.0865
112,196,0.0723
73,29,0.0023
168,111,0.0497
187,79,0.0039
54,91,0.0339
8,26,0.0013
