term,log_hr,hr,ci_low,ci_high,p_value
"Q(""sex"")[T.Nam]",-0.0233,0.9769,0.6336,1.5062,0.9158
"Q(""treatment"")[T.Phác đồ B]",0.1054,1.1112,0.7252,1.7024,0.6282
"Q(""crp"")",-0.0012,0.9988,0.9919,1.0058,0.7445
"Q(""age"")",0.0061,1.0062,0.9982,1.0142,0.1306
"Q(""bmi"")",-0.002,0.998,0.9904,1.0058,0.6174
"Q(""sbp"")",0.0008,1.0008,0.9938,1.0079,0.813
"Q(""diabetes"")",0.2464,1.2794,0.8376,1.9542,0.2542
"Q(""hypertension"")",-0.1201,0.8868,0.5834,1.3482,0.5741
"Q(""smoking"")",-0.0105,0.9895,0.6504,1.5055,0.9608
"Q(""egfr"")",-0.0005,0.9995,0.9924,1.0066,0.8796
"Q(""hba1c"")",0.0,1.0,0.9928,1.0072,0.9962
"Q(""complication"")",-0.1734,0.8408,0.5451,1.2969,0.4329
