Time,Surv prob,Surv prob SE,num at risk,num events
5,0.9801980198019802,0.01386278649080601,101,2.0
6,0.9702970297029703,0.01689240964133677,99,1.0
9,0.9603960396039604,0.019405900581934508,98,1.0
14,0.9500692004684339,0.021772246832288747,93,1.0
15,0.9294155221973811,0.025735097763500282,92,2.0
18,0.9190886830618546,0.02744299595411451,90,1.0
23,0.9081471511206421,0.029216182111195897,84,1.0
24,0.8972056191794295,0.030845025993699027,83,1.0
25,0.8750523940145053,0.03382803636733348,81,2.0
30,0.8628988885420817,0.0354742988015213,72,1.0
32,0.8503931075487182,0.03709908426410581,69,1.0
35,0.8377006731076926,0.038655623976070516,67,1.0
38,0.811925267781302,0.041541332582746206,65,2.0
41,0.7988296989461198,0.042885801406429544,62,1.0
43,0.7852902125233042,0.04424460912580873,59,1.0
48,0.7710122086592441,0.0456859110770738,55,1.0
53,0.7561850508004124,0.04715203258015452,52,1.0
60,0.7389990269185849,0.04911262108742669,44,1.0
61,0.703808597065319,0.05270197632800373,42,2.0
62,0.6686181672120529,0.05563197139738341,40,2.0
63,0.6500454403450514,0.05710279194460609,36,1.0
68,0.5926884897263704,0.06091419864535981,34,3.0
69,0.5735695061868101,0.06187693537536517,31,1.0
72,0.5326002557448951,0.06387971996442936,28,2.0
78,0.5112962455150993,0.06477966147262557,25,1.0
79,0.4890659739709646,0.06566681947077364,23,1.0
80,0.44460543088269505,0.06680017147404815,22,2.0
81,0.4001448877944256,0.06711159294433527,20,2.0
82,0.37791461625029077,0.06696384571308932,18,1.0
88,0.34642173156276657,0.0683892448242738,12,1.0
90,0.31177955840648985,0.06977473811541267,10,1.0
99,0.10392651946882997,0.0879853793236284,3,2.0
100,0.0,,1,1.0
