Time,Surv prob,Surv prob SE,num at risk,num events
1,0.9894736842105263,0.010470767561154526,95,1.0
2,0.9788341822297679,0.01480789228863137,93,1.0
5,0.9681946802490096,0.01806934808219347,92,1.0
10,0.9466792429101426,0.02320484727892506,90,2.0
11,0.9357978723019801,0.025361404376668437,87,1.0
14,0.9249165016938176,0.02730122839905133,86,1.0
16,0.914035131085655,0.029067742562143443,85,1.0
17,0.9030226596267916,0.030732878955825854,83,1.0
18,0.8920101881679283,0.03227087017353412,82,1.0
19,0.880997716709065,0.03369912901233498,81,1.0
22,0.8695561879206355,0.03515016909491623,77,1.0
25,0.8578054286244108,0.03658663125697168,74,1.0
26,0.8225531507357364,0.040348969052993275,73,3.0
27,0.7990516321432868,0.04248067655613624,70,2.0
29,0.787300872847062,0.04345079054410897,68,1.0
31,0.7634432706395753,0.045290738013635215,66,2.0
32,0.7513251234865662,0.046164566891229615,63,1.0
33,0.7266915128804493,0.047824357073107476,61,2.0
36,0.7143747075773909,0.04857393807454641,59,1.0
41,0.7011455463259577,0.049443100203540355,54,1.0
42,0.6873975944372134,0.05034871155437603,51,1.0
44,0.6736496425484692,0.05118430520767987,50,1.0
45,0.6599016906597249,0.05195325967597059,49,1.0
46,0.6461537387709806,0.05265849436969762,48,1.0
47,0.6324057868822363,0.053302538537736276,47,1.0
50,0.6183523249515199,0.053938861312785746,45,1.0
54,0.6036296505479123,0.05462694796370625,42,1.0
55,0.5885389092842145,0.055306424096853934,40,1.0
58,0.5730510432504193,0.0559775923706432,38,1.0
61,0.5575631772166243,0.056566710772618066,37,1.0
63,0.5257024242328171,0.05764634580913156,35,2.0
70,0.5075747544316855,0.05843931991234629,29,1.0
74,0.46696877407715065,0.0604074120857424,25,2.0
76,0.44666578389988326,0.061097737003561824,23,1.0
86,0.4253959846665555,0.06177978626009939,21,1.0
87,0.40300672231568413,0.06245356937602683,19,1.0
89,0.37781880217095387,0.06342639652977411,16,1.0
91,0.35083174487302865,0.06438176332146035,14,1.0
93,0.2923597873941905,0.06559764422019607,12,2.0
99,0.2436331561618254,0.07047552981918863,6,1.0
100,0.1827248671213691,0.07467389052393389,4,1.0
