characteristic,level,Overall,Group_0,Group_1,test,p_value
N,-,200,105,95,-,
age,-,50.1 (28.7),48.7 (28.7),51.5 (28.7),mann_whitney_u,0.4840728007670806
bmi,-,51.4 (28.8),53.5 (28.3),49.1 (29.4),mann_whitney_u,0.2762995489369988
sbp,-,49.9 (29.4),50.6 (28.0),49.0 (30.9),mann_whitney_u,0.6649649710306172
egfr,-,49.0 (29.2),50.4 (30.7),47.4 (27.5),mann_whitney_u,0.4401996824819665
hba1c,-,53.2 (28.4),53.9 (29.3),52.5 (27.5),mann_whitney_u,0.6748023154079907
crp,-,46.4 (29.5),45.1 (29.8),48.0 (29.2),mann_whitney_u,0.44455972846881775
sex,Nam,95 (47.5%),53 (50.5%),42 (44.2%),chi_squared,0.45668113375443775
sex,Nữ,105 (52.5%),52 (49.5%),53 (55.8%),,
treatment,Phác đồ A,105 (52.5%),60 (57.1%),45 (47.4%),chi_squared,0.21477638941981636
treatment,Phác đồ B,95 (47.5%),45 (42.9%),50 (52.6%),,
diabetes,0,88 (44.0%),49 (46.7%),39 (41.1%),chi_squared,0.5117636799111973
diabetes,1,112 (56.0%),56 (53.3%),56 (58.9%),,
hypertension,0,93 (46.5%),44 (41.9%),49 (51.6%),chi_squared,0.21950755417841122
hypertension,1,107 (53.5%),61 (58.1%),46 (48.4%),,
smoking,0,94 (47.0%),52 (49.5%),42 (44.2%),chi_squared,0.5418801305180219
smoking,1,106 (53.0%),53 (50.5%),53 (55.8%),,
complication,0,106 (53.0%),55 (52.4%),51 (53.7%),chi_squared,0.9660553033857444
complication,1,94 (47.0%),50 (47.6%),44 (46.3%),,
