"term","estimate","or","ci_low","ci_high","p_value"
"(Intercept)",-10.7979,0,0,0.0034,0
"crp",0.0025,1.0026,0.9565,1.0508,0.9154
"age",0.0509,1.0522,1.0132,1.0927,0.0083
"sexNam",-0.5156,0.5971,0.2413,1.4777,0.2647
"bmi",0.0312,1.0317,0.9361,1.1371,0.5296
"treatmentPhác đồ B",0.8868,2.4273,0.9588,6.1452,0.0613
"sbp",0.0098,1.0098,0.9862,1.034,0.4186
"diabetes",2.1351,8.4582,2.1228,33.7011,0.0025
"hypertension",1.4163,4.1219,1.3736,12.3688,0.0115
"smoking",0.6364,1.8896,0.7288,4.8993,0.1905
"egfr",0.0205,1.0207,0.9971,1.0448,0.0859
"hba1c",-0.08,0.9231,0.6853,1.2434,0.5986
"complication",-0.4449,0.6409,0.2271,1.8083,0.4006
