"characteristic","level","Overall","Group_0","Group_1"
"N","-","250","217","33"
"age","-","54.4 (14.1)","52.9 (13.6)","63.8 (13.8)"
"bmi","-","26.9 (5.2)","26.5 (5.0)","28.9 (6.1)"
"sbp","-","134.3 (21.2)","132.8 (20.4)","144.1 (23.9)"
"egfr","-","81.5 (20.6)","81.5 (20.9)","81.8 (18.8)"
"hba1c","-","6.6 (1.9)","6.5 (1.9)","7.7 (1.9)"
"crp","-","8.4 (9.0)","8.3 (9.1)","9.0 (8.5)"
"sex","Nam","118 (47.2%)","106 (48.8%)","12 (36.4%)"
"sex","Nữ","132 (52.8%)","111 (51.2%)","21 (63.6%)"
"treatment","Phác đồ A","127 (50.8%)","117 (53.9%)","10 (30.3%)"
"treatment","Phác đồ B","123 (49.2%)","100 (46.1%)","23 (69.7%)"
"diabetes","0","150 (60.0%)","143 (65.9%)","7 (21.2%)"
"diabetes","1","100 (40.0%)","74 (34.1%)","26 (78.8%)"
"hypertension","0","121 (48.4%)","116 (53.5%)","5 (15.2%)"
"hypertension","1","129 (51.6%)","101 (46.5%)","28 (84.8%)"
"smoking","0","189 (75.6%)","168 (77.4%)","21 (63.6%)"
"smoking","1","61 (24.4%)","49 (22.6%)","12 (36.4%)"
"complication","0","204 (81.6%)","181 (83.4%)","23 (69.7%)"
"complication","1","46 (18.4%)","36 (16.6%)","10 (30.3%)"
