term,estimate,or,ci_low,ci_high,p_value
Intercept,2.647,14.1122,1.2186,163.4269,0.0342
"Q(""sex"")[T.Nam]",0.3197,1.3767,0.7439,2.5479,0.3087
"Q(""treatment"")[T.Phác đồ B]",0.0754,1.0783,0.5987,1.9422,0.8016
crp,0.0045,1.0045,0.9846,1.0249,0.6578
"Q(""age"")",0.0057,1.0057,0.9914,1.0203,0.435
"Q(""bmi"")",-0.0026,0.9974,0.9593,1.037,0.8962
"Q(""sbp"")",-0.0101,0.99,0.9791,1.001,0.0751
"Q(""diabetes"")",-0.5303,0.5884,0.3236,1.0698,0.0821
"Q(""hypertension"")",-0.0425,0.9584,0.5167,1.7777,0.8927
"Q(""smoking"")",0.1354,1.145,0.6305,2.0794,0.6565
"Q(""egfr"")",-0.0086,0.9914,0.9827,1.0002,0.0561
"Q(""hba1c"")",-0.1173,0.8893,0.7835,1.0094,0.0694
"Q(""complication"")",0.0453,1.0464,0.5752,1.9036,0.882
