term,estimate,or,ci_low,ci_high,p_value
Intercept,1.6787,5.3588,0.702,40.9057,0.1055
treatment[T.Phác đồ B],0.0637,1.0657,0.5978,1.8999,0.8291
sex[T.Nữ],-0.2645,0.7676,0.4194,1.4049,0.3911
age,0.0048,1.0048,0.9906,1.0192,0.5067
bmi,-0.005,0.995,0.9576,1.0339,0.7975
diabetes,-0.4727,0.6233,0.3463,1.1218,0.1149
hypertension,0.0712,1.0738,0.5911,1.9505,0.8151
smoking,0.119,1.1263,0.6269,2.0237,0.6907
egfr,-0.008,0.9921,0.9835,1.0007,0.0714
hba1c,-0.1308,0.8774,0.7762,0.9918,0.0364
crp,0.0023,1.0023,0.983,1.022,0.8171
