characteristic,level,Overall,test,p_value,treatment=Phác đồ A,treatment=Phác đồ B
age,mean (SD),56.5 (20.5),mann_whitney_u,0.9726842085447739,56.5 (19.9),56.4 (21.2)
bmi,mean (SD),29.2 (7.7),mann_whitney_u,0.284140321937457,29.8 (7.8),28.6 (7.6)
egfr,mean (SD),82.9 (34.3),mann_whitney_u,0.6239269943006764,84.3 (33.6),81.6 (35.1)
hba1c,mean (SD),8.5 (2.4),mann_whitney_u,0.8267583862233243,8.5 (2.5),8.4 (2.3)
crp,mean (SD),27.4 (15.5),mann_whitney_u,0.7468572033383185,27.8 (15.2),27.0 (15.8)
sex,Nam,113 (56.5%),chi_squared,0.7190566457744981,56 (58.3%),57 (54.8%)
sex,Nữ,87 (43.5%),,,40 (41.7%),47 (45.2%)
diabetes,0,87 (43.5%),chi_squared,0.9408290415703121,41 (42.7%),46 (44.2%)
diabetes,1,113 (56.5%),,,55 (57.3%),58 (55.8%)
hypertension,0,114 (57.0%),chi_squared,0.9498503913821656,54 (56.2%),60 (57.7%)
hypertension,1,86 (43.0%),,,42 (43.8%),44 (42.3%)
smoking,0,108 (54.0%),chi_squared,0.8513262954004508,53 (55.2%),55 (52.9%)
smoking,1,92 (46.0%),,,43 (44.8%),49 (47.1%)
mortality_30day,0,108 (54.0%),chi_squared,0.8513262954004508,53 (55.2%),55 (52.9%)
mortality_30day,1,92 (46.0%),,,43 (44.8%),49 (47.1%)
