"respondent_id","age","gender","education","income","work_hours","work_mode","tenure_years","js_q1","js_q2","js_q3","js_q4","js_q5","job_satisfaction","bo_q1","bo_q2","bo_q3","bo_q4","bo_q5","burnout_score","wlb","turnover_intent"
"id_1",50,"Nam","Thạc sĩ",8,54.02,"Hybrid",6.5,1,4,2,4,5,2.67,2,3,2,2,5,3.73,4,1
"id_2",54,"Nam","Đại học",28,45.45,"Remote",5.75,5,2,4,3,1,4.12,5,4,3,5,5,3.11,3,0
"id_3",59,"Nam","Tiến sĩ",34,47.2,"Văn phòng",10.68,4,1,4,3,4,2.66,2,3,5,1,2,1.53,2,0
"id_4",48,"Nữ","Thạc sĩ",25,50.48,"Văn phòng",5.49,2,5,4,1,3,3.38,1,1,3,1,3,4.31,4,1
"id_5",57,"Nam","Tiến sĩ",20,44.33,"Văn phòng",12.49,4,5,2,5,5,1.56,4,5,2,2,4,1.75,4,0
"id_6",26,"Nữ","Đại học",7,20.7,"Văn phòng",7.99,3,1,1,4,4,4.88,5,2,3,4,1,3.98,1,0
"id_7",52,"Nam","Đại học",22,51.65,"Remote",16.58,5,1,3,5,2,1.25,5,1,5,1,3,1.94,2,1
"id_8",55,"Nam","Thạc sĩ",30,36.24,"Hybrid",10.43,1,5,4,5,3,2.84,1,5,5,4,4,2.28,2,0
"id_9",45,"Nữ","Thạc sĩ",22,22.45,"Remote",2.94,1,2,2,1,4,2.14,5,5,5,5,4,3.13,4,0
"id_10",40,"Nam","Đại học",23,46.82,"Văn phòng",4.86,2,2,3,5,4,4.51,3,5,4,4,1,3.2,3,1
"id_11",36,"Nữ","Tiến sĩ",19,26.54,"Remote",11.03,5,3,2,5,5,2.83,2,5,5,2,2,4.73,1,1
"id_12",50,"Nam","Thạc sĩ",12,44.1,"Remote",18.54,5,1,3,3,3,4.7,1,5,4,5,5,1.07,3,1
"id_13",31,"Nam","THPT",6,32.23,"Remote",11.91,4,5,5,5,2,2.25,3,3,2,5,2,4.75,3,0
"id_14",39,"Nam","Thạc sĩ",20,42.84,"Văn phòng",18.63,5,4,3,4,1,2.94,4,1,2,2,5,2.79,4,1
"id_15",55,"Nam","Đại học",28,32.58,"Văn phòng",2.32,2,5,4,1,2,3.97,4,2,5,1,5,3.54,1,1
"id_16",50,"Nữ","Đại học",23,59.67,"Văn phòng",17.93,5,3,5,5,4,3.88,3,3,2,2,2,2.94,1,0
"id_17",58,"Nữ","THPT",30,51.31,"Hybrid",2.19,2,1,4,1,5,2.79,2,2,1,5,4,1.61,4,0
"id_18",33,"Nam","THPT",21,38.53,"Hybrid",15.58,2,2,5,2,2,1.88,4,2,5,3,1,4.64,5,1
"id_19",58,"Nam","THPT",6,57.79,"Văn phòng",18.84,4,4,4,2,5,2,1,1,4,1,2,4.29,2,1
"id_20",56,"Nam","Thạc sĩ",15,42.19,"Hybrid",18.18,3,1,5,3,4,4.58,3,3,3,3,3,4.32,3,0
"id_21",33,"Nữ","Thạc sĩ",31,49.65,"Hybrid",16.39,4,4,5,4,5,2.61,1,2,2,4,5,2.58,2,1
"id_22",24,"Nam","Thạc sĩ",31,38.68,"Hybrid",8.79,3,4,3,3,5,4.06,2,5,5,4,3,2.81,2,0
"id_23",56,"Nữ","THPT",34,44.04,"Văn phòng",5.81,1,1,3,5,4,4.45,2,1,3,5,3,1.35,3,0
"id_24",57,"Nam","THPT",13,61.01,"Hybrid",20.31,1,3,2,3,2,1.19,2,2,4,3,3,2.01,4,0
"id_25",29,"Nam","Tiến sĩ",10,45.37,"Remote",12.7,5,1,5,4,2,2.66,5,4,2,2,4,1.66,3,1
"id_26",23,"Nữ","Thạc sĩ",35,31.05,"Remote",11.98,5,2,4,1,5,3.2,5,2,4,5,5,4.5,1,1
"id_27",50,"Nữ","Đại học",22,30.05,"Văn phòng",9.45,3,2,3,3,5,3.12,1,1,1,1,1,2.06,3,1
"id_28",26,"Nam","Đại học",20,55.75,"Hybrid",15.21,3,1,5,4,5,3.78,4,5,4,3,5,3.48,2,0
"id_29",30,"Nữ","Thạc sĩ",36,54.81,"Remote",4.86,3,3,4,4,5,1.82,4,2,3,4,2,2.49,1,1
"id_30",39,"Nam","Tiến sĩ",14,56.12,"Văn phòng",18.45,5,2,5,5,2,4.27,1,1,3,4,3,1.25,3,0
"id_31",28,"Nữ","Tiến sĩ",32,57.33,"Hybrid",16.8,3,3,3,5,5,3.87,5,5,3,1,5,4.65,5,1
"id_32",48,"Nữ","THPT",11,29.5,"Văn phòng",14.2,1,1,3,2,4,3.07,4,3,1,1,3,2.35,3,1
"id_33",58,"Nam","Tiến sĩ",17,30.16,"Remote",5.51,5,1,1,4,3,1.6,5,1,4,2,3,4.16,5,1
"id_34",26,"Nam","Đại học",26,56.93,"Văn phòng",10.31,3,5,3,5,1,1.54,4,1,1,2,3,4.51,3,0
"id_35",50,"Nữ","THPT",30,47.57,"Remote",11.81,5,2,2,5,4,1.31,4,5,4,5,3,2.68,4,1
"id_36",25,"Nam","THPT",35,49.9,"Hybrid",0.31,1,5,5,2,3,2.84,1,5,3,1,1,1.7,1,1
"id_37",52,"Nữ","Đại học",11,36.22,"Văn phòng",15.22,5,1,3,5,1,1.56,2,5,5,4,4,4.84,4,0
"id_38",38,"Nam","Tiến sĩ",13,54.91,"Remote",12.5,1,5,2,5,4,4.86,4,5,2,5,4,1.04,5,1
"id_39",29,"Nữ","Thạc sĩ",20,23.38,"Remote",18.45,4,2,4,1,1,1.03,4,1,3,2,1,4.76,4,0
"id_40",30,"Nữ","Đại học",13,21.65,"Văn phòng",2.41,3,4,2,3,2,1.61,3,3,4,5,3,2.86,1,0
"id_41",24,"Nam","Đại học",17,33.16,"Remote",5.54,1,2,4,2,4,4.29,1,2,3,3,3,3,2,0
"id_42",50,"Nam","Đại học",29,29.09,"Remote",11.22,5,3,2,4,1,1.63,4,2,1,5,1,1.8,2,0
