characteristic,level,Overall,test,p_value,work_mode=Hybrid,work_mode=Remote,work_mode=Văn phòng
age,mean (SD),41.2 (11.4),kruskal_wallis,0.8654025036333971,41.0 (10.9),41.6 (11.7),40.9 (11.7)
income,mean (SD),20.9 (9.3),kruskal_wallis,0.37909915436518576,20.8 (9.6),20.0 (9.4),21.8 (8.8)
work_hours,mean (SD),40.8 (12.2),kruskal_wallis,0.5900015037656794,41.1 (12.1),39.8 (12.4),41.5 (12.0)
tenure_years,mean (SD),11.1 (6.1),kruskal_wallis,0.7155508134901953,10.7 (6.5),11.0 (5.7),11.4 (6.2)
gender,Nam,161 (53.7%),chi_squared,0.7841226926947986,51 (56.7%),55 (52.9%),55 (51.9%)
gender,Nữ,139 (46.3%),,,39 (43.3%),49 (47.1%),51 (48.1%)
education,THPT,78 (26.0%),chi_squared,0.7314432892964144,22 (24.4%),25 (24.0%),31 (29.2%)
education,Thạc sĩ,75 (25.0%),,,23 (25.6%),24 (23.1%),28 (26.4%)
education,Tiến sĩ,75 (25.0%),,,21 (23.3%),32 (30.8%),22 (20.8%)
education,Đại học,72 (24.0%),,,24 (26.7%),23 (22.1%),25 (23.6%)
turnover_intent,0,148 (49.3%),chi_squared,0.6246255468523478,44 (48.9%),55 (52.9%),49 (46.2%)
turnover_intent,1,152 (50.7%),,,46 (51.1%),49 (47.1%),57 (53.8%)
