"variable","type","levels","n_distinct","missing_pct","note"
"respondent_id","id_like","",NA,0,"high-cardinality; treated as identifier; levels not exported"
"age","integer","",NA,0,""
"gender","binary","Nữ|Nam",2,0,""
"education","categorical","Đại học|Thạc sĩ|THPT|Tiến sĩ",4,0,""
"income","integer","",NA,0,""
"work_hours","numeric","",NA,0,""
"work_mode","categorical","Văn phòng|Hybrid|Remote",3,0,""
"tenure_years","numeric","",NA,0,""
"js_q1","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"js_q2","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"js_q3","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"js_q4","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"js_q5","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"job_satisfaction","numeric","",NA,0,""
"bo_q1","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"bo_q2","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"bo_q3","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"bo_q4","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"bo_q5","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"burnout_score","numeric","",NA,0,""
"wlb","integer_scale","1|2|3|4|5",5,0,"small set of integer values; possibly a Likert/score item"
"turnover_intent","binary","0|1",2,0,""
