respondent_id,age,gender,education,income,work_hours,work_mode,tenure_years,js_q1,js_q2,js_q3,js_q4,js_q5,job_satisfaction,bo_q1,bo_q2,bo_q3,bo_q4,bo_q5,burnout_score,wlb,turnover_intent
R0001,24,Nam,Thạc sĩ,9,49.0,Remote,1.6,3,4,2,3,4,3.2,3,3,4,3,3,3.2,4,0
R0002,42,Nam,Đại học,6,46.6,Văn phòng,0.6,2,3,3,2,1,2.2,4,4,4,3,4,3.8,1,1
R0003,36,Nam,THPT,25,36.8,Văn phòng,0.8,4,4,3,3,4,3.6,3,3,3,2,2,2.6,3,0
R0004,22,Nam,THPT,10,39.6,Văn phòng,0.3,5,5,5,5,4,4.8,3,3,3,2,4,3.0,2,0
R0005,28,Nam,Đại học,5,42.6,Hybrid,6.9,4,3,3,4,4,3.6,4,4,4,4,4,4.0,4,1
R0006,48,Nam,Tiến sĩ,20,45.4,Văn phòng,0.3,3,3,3,3,3,3.0,2,2,2,2,1,1.8,3,0
R0007,22,Nữ,Tiến sĩ,11,51.2,Hybrid,9.0,4,3,3,4,3,3.4,4,5,4,4,4,4.2,3,1
R0008,30,Nam,Thạc sĩ,14,36.3,Hybrid,0.3,3,4,4,5,4,4.0,3,2,3,2,2,2.4,3,0
R0009,45,Nữ,Đại học,14,43.0,Văn phòng,6.7,3,3,3,3,3,3.0,3,4,3,4,4,3.6,2,0
R0010,26,Nam,Đại học,12,38.0,Hybrid,0.9,4,5,5,4,4,4.4,3,3,3,3,2,2.8,4,0
R0011,27,Nam,Đại học,13,43.4,Văn phòng,0.3,4,4,2,3,3,3.2,4,4,4,4,3,3.8,2,1
R0012,33,Nam,Đại học,11,32.2,Văn phòng,4.8,2,2,3,2,3,2.4,4,3,2,3,4,3.2,2,1
R0013,47,Nữ,Thạc sĩ,6,31.9,Văn phòng,0.3,4,4,3,3,3,3.4,2,3,3,3,4,3.0,3,0
R0014,28,Nam,Đại học,12,35.3,Remote,1.4,3,4,4,5,5,4.2,5,4,5,4,4,4.4,3,0
R0015,30,Nam,Đại học,17,38.1,Hybrid,0.3,4,4,4,4,4,4.0,4,4,4,3,4,3.8,5,0
R0016,30,Nữ,THPT,9,52.6,Hybrid,0.5,2,3,2,3,3,2.6,4,5,3,4,4,4.0,3,0
R0017,53,Nữ,Đại học,13,50.8,Văn phòng,0.5,4,3,4,4,4,3.8,5,5,4,5,4,4.6,2,1
R0018,53,Nam,Đại học,12,39.4,Văn phòng,5.1,5,3,3,3,3,3.4,4,3,4,3,4,3.6,4,0
R0019,43,Nữ,Đại học,25,46.4,Remote,14.3,5,5,5,5,5,5.0,2,1,2,3,2,2.0,5,0
R0020,37,Nam,Đại học,9,27.4,Văn phòng,1.1,4,4,5,5,5,4.6,2,1,2,2,1,1.6,3,0
R0021,40,Nam,Đại học,9,38.8,Remote,2.0,3,4,2,3,3,3.0,5,5,3,5,5,4.6,3,1
R0022,47,Nữ,Đại học,9,41.5,Văn phòng,1.9,1,2,2,1,2,1.6,3,4,3,3,4,3.4,2,1
R0023,25,Nam,THPT,9,49.4,Hybrid,1.2,4,4,4,4,4,4.0,3,4,3,3,4,3.4,4,0
R0024,44,Nữ,Thạc sĩ,5,41.6,Văn phòng,5.0,3,2,2,2,3,2.4,4,4,4,4,4,4.0,4,1
R0025,22,Nữ,Tiến sĩ,7,43.1,Remote,1.3,4,5,4,4,5,4.4,3,2,3,2,3,2.6,4,0
R0026,28,Nam,Đại học,12,43.5,Hybrid,2.9,3,3,4,3,3,3.2,2,2,2,3,3,2.4,3,0
R0027,42,Nam,Đại học,10,42.7,Remote,0.6,2,2,3,3,3,2.6,3,3,3,4,3,3.2,3,1
R0028,22,Nam,Tiến sĩ,7,28.4,Văn phòng,7.5,5,4,4,4,4,4.2,3,2,3,4,3,3.0,4,0
R0029,32,Nữ,Đại học,7,36.3,Văn phòng,4.7,2,3,4,3,4,3.2,2,4,4,4,3,3.4,5,0
R0030,26,Nữ,Thạc sĩ,8,51.4,Văn phòng,3.1,3,3,3,3,3,3.0,3,3,3,3,2,2.8,2,0
R0031,31,Nữ,Thạc sĩ,7,46.2,Văn phòng,3.8,4,5,4,5,4,4.4,4,5,5,4,4,4.4,3,0
R0032,22,Nam,Đại học,8,43.9,Remote,1.0,3,3,3,3,3,3.0,4,3,3,4,3,3.4,4,0
R0033,22,Nữ,Đại học,8,40.4,Hybrid,7.4,3,4,4,4,4,3.8,2,3,3,3,3,2.8,4,0
R0034,27,Nữ,Tiến sĩ,16,47.6,Hybrid,0.5,3,3,2,3,3,2.8,4,3,3,3,4,3.4,4,0
R0035,42,Nữ,THPT,17,35.0,Văn phòng,8.5,3,2,3,3,3,2.8,1,1,1,1,1,1.0,1,0
R0036,32,Nam,Đại học,16,29.7,Văn phòng,3.8,3,2,4,3,3,3.0,3,2,3,2,2,2.4,4,0
R0037,34,Nữ,Đại học,12,38.0,Văn phòng,11.3,3,2,3,3,3,2.8,3,2,3,3,3,2.8,3,0
R0038,40,Nam,Đại học,7,43.9,Văn phòng,1.4,4,3,3,4,4,3.6,2,2,2,2,3,2.2,4,0
R0039,26,Nam,Thạc sĩ,16,43.2,Remote,11.0,3,2,3,3,2,2.6,3,3,3,3,4,3.2,5,0
R0040,36,Nữ,Đại học,9,48.3,Remote,4.1,4,4,5,4,3,4.0,2,1,2,2,2,1.8,4,0
R0041,26,Nam,THPT,10,43.3,Văn phòng,0.3,3,2,2,2,2,2.2,4,5,5,5,4,4.6,1,1
R0042,22,Nữ,Đại học,19,43.6,Văn phòng,0.4,3,4,4,4,3,3.6,3,3,3,2,3,2.8,2,0
R0043,30,Nam,Thạc sĩ,10,51.1,Văn phòng,3.6,3,1,2,2,2,2.0,5,4,4,5,4,4.4,3,1
R0044,39,Nam,Tiến sĩ,11,49.9,Hybrid,0.4,3,4,3,4,4,3.6,3,3,2,2,2,2.4,4,0
R0045,37,Nữ,Đại học,5,38.2,Remote,5.5,5,4,5,4,5,4.6,4,3,4,3,4,3.6,5,0
R0046,33,Nam,Thạc sĩ,13,32.6,Văn phòng,4.5,3,2,3,4,3,3.0,5,4,4,4,3,4.0,4,0
R0047,55,Nữ,THPT,6,32.0,Hybrid,0.8,4,5,4,4,5,4.4,2,1,1,1,2,1.4,3,0
R0048,37,Nam,Thạc sĩ,17,41.3,Remote,4.1,3,3,4,3,3,3.2,3,3,3,2,3,2.8,5,0
R0049,42,Nữ,Đại học,9,37.3,Hybrid,3.3,4,3,4,3,4,3.6,2,2,1,2,1,1.6,3,0
R0050,54,Nam,Tiến sĩ,5,52.3,Văn phòng,1.1,2,2,2,2,2,2.0,4,3,4,3,3,3.4,3,1
R0051,22,Nam,Đại học,8,26.5,Hybrid,4.9,4,4,4,4,3,3.8,3,3,3,3,3,3.0,3,0
R0052,24,Nữ,Tiến sĩ,9,39.7,Văn phòng,1.2,2,3,3,2,3,2.6,3,2,3,3,3,2.8,4,0
R0053,49,Nữ,Đại học,13,32.9,Remote,8.0,4,4,4,2,4,3.6,2,2,2,2,1,1.8,5,0
R0054,26,Nữ,Đại học,14,42.6,Văn phòng,2.0,5,5,5,4,4,4.6,4,5,4,4,3,4.0,4,0
R0055,34,Nam,Thạc sĩ,8,43.0,Văn phòng,2.7,1,2,2,2,2,1.8,4,4,3,4,4,3.8,3,1
R0056,43,Nam,Đại học,17,39.4,Văn phòng,4.3,2,3,4,4,4,3.4,4,4,4,3,3,3.6,3,0
R0057,42,Nữ,Đại học,5,43.2,Văn phòng,8.6,3,3,3,2,4,3.0,5,5,5,5,4,4.8,4,0
R0058,49,Nam,Đại học,7,38.0,Văn phòng,2.4,4,3,3,3,4,3.4,3,3,3,3,3,3.0,3,1
R0059,47,Nữ,Tiến sĩ,6,37.9,Văn phòng,4.3,1,2,2,2,1,1.6,3,4,3,4,4,3.6,4,1
R0060,43,Nam,Đại học,5,35.7,Hybrid,3.6,4,3,4,3,4,3.6,2,3,3,3,2,2.6,5,0
R0061,27,Nữ,Thạc sĩ,16,47.5,Remote,0.3,3,3,2,2,3,2.6,3,4,3,4,3,3.4,4,0
R0062,41,Nữ,Đại học,15,43.1,Văn phòng,4.0,3,3,2,3,4,3.0,3,2,2,2,2,2.2,2,0
R0063,36,Nữ,Đại học,7,52.2,Văn phòng,0.3,3,2,3,2,3,2.6,3,3,3,4,3,3.2,2,1
R0064,22,Nam,Đại học,18,53.1,Remote,2.8,1,1,1,1,2,1.2,5,4,5,5,5,4.8,4,1
R0065,46,Nam,Tiến sĩ,10,44.9,Hybrid,0.5,3,2,3,3,3,2.8,3,4,3,4,3,3.4,5,0
R0066,41,Nữ,Thạc sĩ,8,22.6,Văn phòng,3.8,4,4,4,4,4,4.0,3,4,3,4,2,3.2,4,0
R0067,34,Nữ,Đại học,7,27.7,Hybrid,5.1,3,3,4,4,3,3.4,3,3,2,3,2,2.6,3,0
