"variable","type","levels","n_distinct","missing_pct","note"
"patient_id","id_like","",NA,0,"high-cardinality; treated as identifier; levels not exported"
"age","integer","",NA,0,""
"sex","binary","Nữ|Nam",2,0,""
"bmi","numeric","",NA,0,""
"treatment","binary","Phác đồ A|Phác đồ B",2,0,""
"sbp","integer","",NA,0,""
"dbp","integer","",NA,0,""
"diabetes","binary","0|1",2,0,""
"hypertension","binary","0|1",2,0,""
"smoking","binary","0|1",2,0,""
"egfr","numeric","",NA,0,""
"hba1c","numeric","",NA,0,""
"crp","numeric","",NA,0,""
"length_of_stay","integer","",NA,0,""
"mortality_30day","binary","0|1",2,0,""
"complication","binary","0|1",2,0,""
